Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,67.92081451416016,67.92081451416016,66.8196375144199,66.91491828092151,27278000
2020-01-03,67.56549072265625,68.17240862427808,66.86081596073402,66.89456517269056,23408000
2020-01-06,69.36638641357422,69.3916926420359,67.0434381998988,67.07469616252293,46768000
2020-01-07,69.2323989868164,69.64875536577131,69.05623219302926,69.49789480129157,34330000
2020-01-08,69.72517395019531,70.06312039428155,69.10932845842892,69.21800440208847,35314000
2020-01-09,70.45713806152344,70.89830085438531,69.98172629744387,70.56333031718493,33200000
2020-01-10,70.91221618652344,71.20897758753587,70.44773094502658,70.93752999233561,26258000
2020-01-13,71.4615707397461,71.53352161734328,70.73406573911171,71.22435698027574,30730000
2020-01-14,70.99310302734375,71.59058602367756,70.85315396532941,71.4600719000503,26076000
2020-01-15,71.42036437988281,71.49877431407914,71.04619262822877,71.11368347743128,21550000
2020-01-16,71.96427154541016,71.99106949862211,71.46007778598154,71.730533421718,26080000
2020-01-17,73.42124938964844,73.47236161437567,72.28136348423534,72.57861703888604,52424000
2020-01-21,73.55673217773438,73.93537154529689,72.95924161824139,73.39544471015016,48930000
2020-01-22,73.63711547851562,74.46635262161918,73.57707565322256,73.92792510020561,28458000
2020-01-23,73.67780303955078,74.1150056100475,73.46094335586837,73.81973599499418,26650000
2020-01-24,72.75875854492188,74.1497455459025,72.61037407881075,74.08126273759932,29786000
2020-01-27,71.04966735839844,71.29034912825152,70.44274948721724,71.04023999318002,34132000
2020-01-28,71.98113250732422,72.19451657572402,70.98168030050765,71.54641358018323,29724000
2020-01-29,72.28880310058594,72.65801507586868,71.72754546979097,72.37614063669027,21566000
2020-01-30,72.16722869873047,72.2168492041988,71.21194499533239,71.36578143499277,27110000
2020-01-31,71.10177612304688,72.93244183951124,70.81791775939544,72.8426206238996,43822000
2020-02-03,73.57408905029297,73.75770686602394,72.2843346143234,72.53444375093086,71636000
2020-02-04,71.72853088378906,72.81680464346873,70.56829869425806,72.17912861978445,95880000
2020-02-05,71.76029968261719,72.67985026168276,70.94794090510676,72.63171390377897,36376000
2020-02-06,73.24507904052734,73.52248589418377,71.980138619887,72.05457315984722,37822000
2020-02-07,73.4009017944336,73.70559879869327,72.7210410665216,72.81929769136995,28360000
2020-02-10,74.86731719970703,74.87823628434978,73.20686668811356,73.30760698082317,38302000
2020-02-11,74.9367904663086,75.92036372100134,74.70801974601746,75.09608642959354,34852000
