Date,Close,High,Low,Open,Volume,MA_20,MA_50,EMA_20,Daily_Return,Cumulative_Return,Volatility_30,BB_Upper,BB_Mid,BB_Lower,RSI_14,Momentum_10
2020-01-02,152.15835571289062,152.2625613691434,149.98900181173212,150.41529242187937,22622100,,,152.15835571289062,,,,,,,,
2020-01-03,150.26376342773438,151.52369966939423,149.7332670007078,149.9795792382155,21116200,,,151.97791835239954,-0.012451450834097932,-0.012451450834097932,,,,,,
2020-01-06,150.6521453857422,150.71846465674278,148.26489736372372,148.80487615350108,20813700,,,151.85165426033691,0.0025846681139101157,-0.009898965588130637,,,,,,
2020-01-07,149.27854919433594,151.25844269298102,149.03225142604057,150.92688967276914,21634100,,,151.60659663500348,-0.009117667643492089,-0.0189263777533758,,,,,,
2020-01-08,151.65631103515625,152.32891395537885,149.62904874222338,150.55741741152548,27746500,,,151.61133133977992,0.01592835577283691,-0.003299488058885802,,,,,,
2020-01-09,153.55093383789062,153.67408993395057,152.54677800677655,153.3141040869697,21385000,,,151.79605538721904,0.012492871478953393,0.009152163339801511,,,,,,
2020-01-10,152.84043884277344,154.62140312836723,152.68886433869304,154.24248132310657,20725900,,,151.89552047822423,-0.004627096542879294,0.004482718853572765,,,,,,
2020-01-13,154.67825317382812,154.70667158890456,152.76466464734693,153.23832417187603,21626500,,,152.16054263971031,0.01202439841817804,0.016561019269242916,,,,,,
2020-01-14,153.58885192871094,154.98141217679571,153.2004476244277,154.78246880352256,23477400,,,152.2965720958056,-0.007043014921385926,0.009401364842030357,,,,,,
2020-01-15,154.5835418701172,155.3035137214435,154.00569102831227,154.0530454248941,21417900,,,152.51437874097812,0.006476316014575989,0.01593856706629171,,,,,,
2020-01-16,157.41598510742188,157.4823043709957,155.38872317227825,155.69187216871902,23865400,,,152.98119839492514,0.018323058218477906,0.03455366857704445,,,,,,0.03455366857704445
2020-01-17,158.2970428466797,158.64754632231816,156.71500707487465,158.60017747170502,34371700,,,153.48746929509224,0.005597002989604638,0.040344068552976564,,,,,,0.05346118875033179
2020-01-21,157.7285919189453,159.3295631226846,157.66227265964778,157.89910237724382,29517200,,,153.89138573545918,-0.0035910394629731224,0.036608151947732814,,,,,,0.04697209266475433
