Date,Close,High,Low,Open,Volume,MA_20,MA_50,EMA_20,Daily_Return,Cumulative_Return,Volatility_30,BB_Upper,BB_Mid,BB_Lower,RSI_14,Momentum_10
2020-01-02,28.68400001525879,28.71333312988281,28.11400032043457,28.299999237060547,142981500,,,28.68400001525879,,,,,,,,
2020-01-03,29.53400039672852,30.26666641235352,29.12800025939941,29.36666679382324,266677500,,,28.764952432541623,0.02963325829792085,0.02963325829792085,,,,,,
2020-01-06,30.1026668548584,30.10400009155273,29.333332061767575,29.36466789245605,151995000,,,28.892353806095603,0.01925463704513497,0.049458472976047,,,,,,
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.76000022888184,268231500,,,29.11885974098521,0.03880052465815398,0.09017801233446265,,,,,,
2020-01-08,32.80933380126953,33.232666015625,31.215333938598636,31.57999992370605,467164500,,,29.47033346101229,0.04920482578812169,0.1438200315094207,,,,,,
2020-01-09,32.089332580566406,33.25333404541016,31.524667739868164,33.13999938964844,426606000,,,29.71976194858887,-0.021945011900097344,0.1187188873063767,,,,,,
2020-01-10,31.87666702270508,32.3293342590332,31.57999992370605,32.11933135986328,194392500,,,29.92518147945708,-0.006627297633174156,0.1113048042723439,,,,,,
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,,,30.407608522917453,0.0976889588509331,0.21986701356774918,,,,,,
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.28400039672852,434943000,,,30.927010753086957,0.024882822120200876,0.25022074747665624,,,,,,
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,,,31.27364455273716,-0.03610201351305786,0.2050852611569487,,,,,,
2020-01-16,34.232666015625,34.297332763671875,32.81133270263672,32.91666793823242,326050500,,,31.55545612063124,-0.009662477636014799,0.19344115177152865,,,,,,0.19344115177152887
2020-01-17,34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,,,31.791444378162268,-0.005822894156913949,0.18649187026225755,,,,,,0.15234415817495894
2020-01-21,36.47999954223633,36.571998596191406,35.227333068847656,35.349998474121094,267052500,,,32.23797344140742,0.07189030619278935,0.27178913411066663,,,,,,0.21185274773582607
