,AAPL,AMZN,GOOGL,MSFT,TSLA
AAPL,1.0,0.6242331500500523,0.6913748616049814,0.7770026838541064,0.5108152989409971
AMZN,0.6242331500500523,1.0,0.66433856121874,0.679093313474904,0.4541913029378343
GOOGL,0.6913748616049814,0.66433856121874,1.0,0.7726428879880075,0.42823054598556104
MSFT,0.7770026838541064,0.679093313474904,0.7726428879880075,1.0,0.472155355604816
TSLA,0.5108152989409971,0.4541913029378343,0.42823054598556104,0.472155355604816,1.0
